time,u,v,sigma_xx,sigma_yy,sigma_xy
0.0,2.1724400000000003e-10,2.1724400000000003e-10,0.0,0.0,0.0
0.050218900000000004,3.3369999999999994e-10,8.385419999999999e-10,-1.32895e-09,1.27359e-08,1.82409e-10
0.10013,-1.21404e-09,7.0949099999999994e-09,3.22144e-08,1.10207e-07,-2.2277299999999998e-08
0.15004,-3.09433e-08,6.23326e-08,5.20069e-07,9.57203e-07,-3.2579799999999996e-07
0.200259,-3.35317e-07,5.06802e-07,5.20976e-06,7.724830000000001e-06,-3.19822e-06
0.25017,-2.6320400000000002e-06,3.51655e-06,3.9722800000000005e-05,5.33218e-05,-2.4274899999999997e-05
0.300081,-1.65584e-05,2.06173e-05,0.000246057,0.00031118599999999997,-0.00015049399999999999
0.3503,-8.63948e-05,0.000102052,0.0012697000000000001,0.00153273,-0.0007793339999999999
0.40021100000000004,-0.000369619,0.000415989,0.00537984,0.00621097,-0.00331992
0.450121,-0.00131536,0.00140562,0.0189594,0.020827099999999998,-0.0117839
0.5000319999999999,-0.00390015,0.00392184,0.0556237,0.0575035,-0.0348922
0.550251,-0.00969274,0.00902911,0.13658399999999998,0.13036099999999998,-0.08670939999999999
0.600162,-0.019979300000000002,0.016841599999999998,0.27770900000000004,0.23735799999999999,-0.179074
0.6500729999999999,-0.034388999999999996,0.0252424,0.470621,0.341124,-0.309904
0.700291,-0.0495323,0.0295782,0.666406,0.366596,-0.451888
0.750202,-0.059396500000000005,0.025295500000000002,0.786379,0.24623499999999998,-0.556145
0.800113,-0.0591313,0.012418799999999999,0.7765810000000001,-0.0107424,-0.585221
0.850024,-0.0476235,-0.00308948,0.639282,-0.298493,-0.533749
0.900243,-0.0273149,-0.0128555,0.42110699999999995,-0.47419300000000003,-0.42533999999999994
0.950154,-0.00190238,-0.0113943,0.172198,-0.444308,-0.28973899999999997
1.00006,0.026789499999999997,0.00108719,-0.09385249999999999,-0.21120500000000003,-0.138413
1.0502799999999999,0.05830610000000001,0.0209198,-0.387471,0.163655,0.031707900000000004
1.10019,0.0910515,0.04321269999999999,-0.707195,0.5958100000000001,0.219275
1.1501,0.122142,0.0640014,-1.03146,1.0173299999999998,0.41385299999999997
1.20002,0.146817,0.0797886,-1.31415,1.36921,0.5918399999999999
1.25023,0.159998,0.0876447,-1.50298,1.60196,0.725383
1.30015,0.157776,0.0855827,-1.55388,1.67588,0.788762
1.35006,0.139327,0.0735648,-1.45224,1.58009,0.771371
1.4002700000000001,0.106777,0.053399,-1.21193,1.33016,0.677045
1.4501899999999999,0.0656543,0.028990600000000002,-0.880734,0.974131,0.526699
1.5001,0.0222448,0.00462285,-0.5192479999999999,0.57115,0.348979
1.55001,-0.0173323,-0.015722999999999997,-0.18914,0.181351,0.174232
1.6002299999999998,-0.0487823,-0.0294925,0.0648635,-0.150341,0.025815499999999998
1.6501400000000002,-0.0695667,-0.0357594,0.217877,-0.39366100000000004,-0.0813339
1.70005,-0.079979,-0.0356272,0.273936,-0.545296,-0.147153
1.75027,-0.0816475,-0.031160300000000002,0.251629,-0.6145689999999999,-0.179476
1.80018,-0.0769383,-0.024750400000000002,0.17788299999999999,-0.617002,-0.189063
1.8500900000000002,-0.0682627,-0.0182139,0.079597,-0.5709609999999999,-0.185774
1.90031,-0.05748480000000001,-0.012580599999999999,-0.0206942,-0.492511,-0.17532
1.95022,-0.046093,-0.00833556,-0.103969,-0.397928,-0.160326
2.00013,-0.034852,-0.005515,-0.15953699999999998,-0.30093400000000003,-0.14163299999999998
2.05004,-0.0241886,-0.00410206,-0.183201,-0.214376,-0.119923
2.10026,-0.014197799999999998,-0.00407185,-0.177573,-0.148608,-0.0961387
2.15017,-0.00504529,-0.00531918,-0.150353,-0.111179,-0.0721886
2.20008,0.00320708,-0.00754675,-0.11069100000000001,-0.102301,-0.049860699999999994
2.2503,0.0102873,-0.010240299999999999,-0.06639199999999999,-0.116075,-0.030694799999999998
2.30021,0.0156957,-0.012667200000000002,-0.024809,-0.14144,-0.015395600000000002
2.35012,0.0191683,-0.0141597,0.00808094,-0.166669,-0.00259642
2.40003,0.020627200000000002,-0.014240799999999998,0.0269703,-0.18264,0.010161
2.45025,0.020225299999999998,-0.012753,0.029218200000000003,-0.184278,0.0252793
2.5001599999999997,0.0183137,-0.00993329,0.0160923,-0.170231,0.0432875
2.5500700000000003,0.0153667,-0.00629634,-0.00788323,-0.14210899999999999,0.0628308
2.60029,0.0118892,-0.0025126,-0.0371766,-0.10355199999999999,0.0810396
2.6502,0.0084137,0.000678332,-0.0661262,-0.0607495,0.09451010000000001
2.70011,0.005288,0.00279957,-0.0909724,-0.019795,0.10129500000000001
2.75002,0.00273281,0.00367371,-0.10939000000000002,0.0140631,0.101065
2.80024,0.000827524,0.00347581,-0.12064100000000001,0.038178500000000004,0.09497560000000001
2.85015,-0.00041067400000000003,0.00266813,-0.125196,0.0524601,0.0850003
2.90006,-0.00105571,0.00183293,-0.124949,0.0596133,0.0726021
2.95028,-0.00118827,0.00148981,-0.12244100000000001,0.0631557,0.058136099999999996
3.0001900000000004,-0.000901949,0.00192445,-0.120145,0.0660574,0.041591199999999995
3.0501,-0.000326007,0.00304124,-0.119297,0.0697255,0.023391
3.1000099999999997,0.000372241,0.00437527,-0.119577,0.07368560000000002,0.00590752
3.15023,0.00103556,0.00529235,-0.11981099999999999,0.0764686,-0.00697719
3.20014,0.00158496,0.00531839,-0.11912,0.0768038,-0.0115101
3.25005,0.00207982,0.00445426,-0.117328,0.07425280000000001,-0.00672381
3.30027,0.00262961,0.00311799,-0.11433900000000001,0.068633,0.00531647
3.3501800000000004,0.00324332,0.00186561,-0.10965899999999999,0.05971619999999999,0.020138200000000002
3.4001,0.00376159,0.0009661310000000001,-0.10250699999999999,0.047214099999999995,0.0332477
3.45001,0.00390847,0.000324672,-0.0924841,0.0313944,0.0414798
3.50023,0.00348529,-0.000327098,-0.0798038,0.0131328,0.0439231
3.5501400000000003,0.00254724,-0.00113287,-0.06556310000000001,-0.00579845,0.041794300000000006
3.60005,0.00134681,-0.00202133,-0.051068999999999996,-0.0236955,0.0372921
3.65027,0.000118071,-0.0027763,-0.0379065,-0.0387643,0.031722900000000005
3.7001800000000005,-0.00106503,-0.0031646,-0.0279964,-0.0490732,0.024774200000000003
3.75009,-0.00228479,-0.0030749,-0.0225974,-0.0535946,0.015196000000000001
3.8003099999999996,-0.00354162,-0.00255206,-0.021819799999999997,-0.0525491,0.00283085
3.8502199999999998,-0.00458991,-0.00181292,-0.0240913,-0.04790440000000001,-0.00993134
3.9001300000000003,-0.00509906,-0.00112864,-0.0269887,-0.042375199999999995,-0.019639700000000003
3.95004,-0.0048867,-0.000693292,-0.0289317,-0.0377147,-0.0238165
